Wall time,Step,Value
1681957985.741466,792,-379.5980224609375
1681957986.883115,793,-532.4840087890625
1681957987.963556,794,-397.67010498046875
1681957989.04403,795,-583.5789184570312
1681957990.121897,796,-382.0437316894531
1681957992.269208,798,-476.2202453613281
1681957994.434286,800,-393.4495544433594
1681957996.585522,802,-463.00146484375
1681957999.837708,805,-461.1634826660156
1681958002.050025,807,-418.79949951171875
1681958003.185568,808,-531.8189697265625
1681958004.309183,809,-492.6966552734375
1681958008.728993,813,-526.3255615234375
1681958010.875935,815,-452.93389892578125
1681958011.970238,816,-479.5858154296875
1681958014.104872,818,-439.1603088378906
1681958017.420034,821,-432.7702331542969
1681958019.672632,823,-460.2404479980469
1681958020.753912,824,-473.8955078125
1681958021.8131578,825,-451.4334716796875
1681958024.955062,828,-466.45318603515625
1681958028.206966,831,-439.1538391113281
1681958029.26008,832,-399.20306396484375
1681958031.3607738,834,-446.069091796875
1681958033.465873,836,-493.050048828125
1681958035.5832472,838,-488.3012390136719
1681958041.082531,843,-486.86468505859375
1681958043.27722,845,-581.401123046875
1681958044.351487,846,-463.79998779296875
1681958045.4572952,847,-497.4831237792969
1681958046.5598688,848,-456.7133483886719
1681958049.868886,851,-607.69970703125
1681958056.335534,857,-545.7972412109375
1681958058.4562829,859,-574.323486328125
1681958059.520983,860,-552.3748779296875
1681958060.582117,861,-467.1026611328125
1681958061.642544,862,-423.2648620605469
1681958062.7383602,863,-456.1266174316406
1681958067.167207,867,-357.7126159667969
1681958069.257568,869,-347.3561096191406
1681958070.302401,870,-439.2639465332031
1681958073.448517,873,-420.3350524902344
1681958074.49697,874,-598.4971923828125
1681958075.542319,875,-445.0830383300781
1681958076.596978,876,-430.7567443847656
1681958077.6473742,877,-411.9442443847656
1681958079.7536168,879,-442.5863342285156
1681958080.797903,880,-602.8136596679688
1681958081.8509061,881,-587.003173828125
1681958082.947073,882,-489.0748596191406
1681958085.071397,884,-419.44390869140625
1681958088.223934,887,-447.53399658203125
1681958090.3184562,889,-526.3579711914062
1681958091.374142,890,-488.4287109375
1681958093.463018,892,-513.9446411132812
1681958094.5230238,893,-512.1033325195312
1681958097.6664162,896,-458.69677734375
